"id";"city";"email";"name";"number"
1;"Indore";"devendra@mail.com";"Devendra";"1234567890"
2;"indore";"yash.sitole@mail.com";"Yash Sitole";"xxxxxxxxxxxx"
3;"Indore";"shiv@mail.com";"Shiv";"822500006"
4;"Ayodhyhya";"ravindra@mail.com";"Ravindra";"8222222115"
5;"Mumbai";"salman.khan@mail.com";"Salman";"988785245"
6;"Ashta";"roman@mail.com";"Roman";"848875246"
7;"Raisen";"tushar@mail.com";"Tushar";"848878795"
8;"Indore";"gourav@mail.com";"Gourav";"8795426145"
9;"Jabalpur";"amit.rai@mail.com";"Amit rai";"975426145"
10;"Indore";"yogesh.rai@mail.com";"Yogesh rai";"975000145"
